Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
2439.207,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2441.61,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2462.533,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2462.832,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Touch,,,POINT
2466.735,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2481.952,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2483.058,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2485.853,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2488.756,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Touch,,,POINT
2493.464,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Touch,,,POINT
2494.261,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2494.765,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2496.863,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2537.407,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2538.705,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2543.413,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2545.616,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2569.438,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2575.447,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2582.25,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2583.551,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2584.354,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
2586.453,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Touch,,,POINT
2587.754,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Touch,,,POINT
2589.36,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,STOP
2601.873,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,STOP
2602.67,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,1m,,,START
2616.483,G:/Coyote Live Prey project/FULL_May-_extHD_tranf02042020/August/Puzzle Box/August_PuzzleBox_1820-1841_PP6_08182020_Day2_Vid1.MOD,7201.69,29.97,Female,Interact,,,START
