,1m,5m,Int,Tou,Solve,Total,Pair,subject,day,month
29,16.333,198.992,0,0,0,8157.26,1610-1703,1610,8,May
30,0,19.392,0,0,0,10370.96,1610-1703,1610,9,May
31,0,23.784,0,0,0,8951.05,1622-1601,1622,1,May
32,0,0,0,0,0,7385.48,1622-1601,1622,10,May
33,0,0,0,0,0,8073.16,1622-1601,1622,2,May
34,0,0,0,0,0,8723.82,1622-1601,1622,4,May
35,0,32.171,0,0,0,7743.83,1622-1601,1622,5,May
36,0,0,0,0,0,8535.63,1622-1601,1622,6,May
37,0,0,0,0,0,8762.85,1622-1601,1622,7,May
38,0,0,0,0,0,9136.71,1622-1601,1622,8,May
39,0,0,0,0,0,8650.23,1622-1601,1622,9,May
40,30.626,541.32,0,0,0,7766.42,1802-1853,1802,1,May
41,0,0,0,0,0,8345.92,1802-1853,1802,10,May
42,9.312,86.39,0,0,0,6940.15,1802-1853,1802,2,May
43,0,0,0,0,0,7916.02,1802-1853,1802,3,May
44,16.595,626.259,0,0,0,6992.15,1802-1853,1802,4,May
45,0,26.637,0,0,0,8919.5,1802-1853,1802,5,May
46,0,20.22,0,0,0,8286.03,1802-1853,1802,6,May
47,0,0,0,0,0,8090.71,1802-1853,1802,7,May
48,0,5.204,0,0,0,7109.34,1802-1853,1802,8,May
49,0,5.005,0,0,0,7192.32,1802-1853,1802,9,May
50,26.224,218.525,0,0,0,8259.33,1820-1841,1820,1,May
51,151.567,299.624,0,0,0,6866.37,1820-1841,1820,10,May
52,338.555,461.987,0,0,0,7623.2,1820-1841,1820,2,May
53,270.432,353.807,0,0,0,7004.51,1820-1841,1820,3,May
54,14.505,32.947,0,0,0,7238.83,1820-1841,1820,4,May
55,121.524,192.332,0,0,0,6604.61,1820-1841,1820,5,May
56,64.84,118.842,0,0,0,8368.98,1820-1841,1820,6,May
57,106.735,153.616,0,0,0,8222.29,1820-1841,1820,7,May
58,143.054,204.181,0,0,0,8543.13,1820-1841,1820,8,May
59,110.145,346.442,0,0,0,8390.98,1820-1841,1820,9,May
60,0,0,0,0,0,7874.05,1842-1851,1842,1,May
61,0,0,0,0,0,8192.31,1842-1851,1842,10,May
62,0,1.5,0,0,0,7975.18,1842-1851,1842,2,May
63,0,0,0,0,0,8068.17,1842-1851,1842,3,May
64,0,1.501,0,0,0,7400.54,1842-1851,1842,4,May
65,0,0,0,0,0,8165.26,1842-1851,1842,5,May
66,0,0,0,0,0,7849.53,1842-1851,1842,6,May
67,0,0,0,0,0,8383.44,1842-1851,1842,7,May
68,0,0,0,0,0,8258.86,1842-1851,1842,8,May
69,0,0,0,0,0,7458.63,1842-1851,1842,9,May
70,0,0,0,0,0,2326.32,1850-1803,1850,1,May
71,0,0,0,0,0,2326.32,1850-1803,1850,10,May
72,0,0,0,0,0,7111.1,1850-1803,1850,2,May
73,0,116.03,0,0,0,7738.81,1850-1803,1850,3,May
74,0,207.743,0,0,0,8737.83,1850-1803,1850,4,May
75,0,47.502,0,0,0,8768.36,1850-1803,1850,5,May
76,0,0,0,0,0,2326.32,1850-1803,1850,6,May
77,0,0,0,0,0,2326.32,1850-1803,1850,7,May
78,0,0,0,0,0,7078.08,1850-1803,1850,8,May
79,0,0,0,0,0,6382.4,1850-1803,1850,9,May
80,4.535,184.85,0,0,0,8522.12,1600-1623,1623,1,May
81,0,82.95,0,0,0,7642.88,1600-1623,1623,10,May
82,0,195.642,0,0,0,9061.62,1600-1623,1623,2,May
83,3.004,90.48,0,0,0,7224.99,1600-1623,1623,3,May
84,0,40.342,0,0,0,9077.15,1600-1623,1623,4,May
85,0,10.01,0,0,0,7468.97,1600-1623,1623,5,May
86,0,209.2,0,0,0,8663.75,1600-1623,1623,6,May
87,0,33.339,0,0,0,7333.05,1600-1623,1623,7,May
88,0,43.338,0,0,0,7525.73,1600-1623,1623,8,May
89,0,19.963,0,0,0,10665.77,1600-1623,1623,9,May
90,0,0,0,0,0,2326.32,1602-1617,1617,1,May
91,0,0,0,0,0,7710.31,1602-1617,1617,10,May
92,0,18.745,0,0,0,8085.18,1602-1617,1617,2,May
93,0,0,0,0,0,8699.79,1602-1617,1617,3,May
94,0,0,0,0,0,7983.08,1602-1617,1617,4,May
95,0,0,0,0,0,6479.49,1602-1617,1617,5,May
96,0,0,0,0,0,2326.32,1602-1617,1617,6,May
97,0,0,0,0,0,7974.57,1602-1617,1617,7,May
98,0,5.534,0,0,0,8035.62,1602-1617,1617,8,May
99,0,7.217,0,0,0,8649.73,1602-1617,1617,9,May
100,0,283.767,0,0,0,8308.9,1610-1703,1703,1,May
101,15.03,224.996,0,0,0,7239.39,1610-1703,1703,10,May
102,22.136,333.248,0,0,0,8879.97,1610-1703,1703,2,May
103,0,110.919,0,0,0,7165.86,1610-1703,1703,3,May
104,53.886,378.418,0,0,0,8493.58,1610-1703,1703,4,May
105,1.201,411.708,0,0,0,7274.37,1610-1703,1703,5,May
106,0.802,167.542,0,0,0,8409,1610-1703,1703,6,May
107,13.013,88.38,0,0,0,7630.33,1610-1703,1703,7,May
108,43.637,423.051,0,0,0,8157.26,1610-1703,1703,8,May
109,48.811,687.119,0,0,0,10370.96,1610-1703,1703,9,May
110,28.824,261.805,0,0,0,8951.05,1622-1601,1601,1,May
111,0,24.693,0,0,0,7385.48,1622-1601,1601,10,May
112,189.635,507.917,0,0,0,8073.16,1622-1601,1601,2,May
113,228.708,415.669,0,0,0,8723.82,1622-1601,1601,4,May
114,221.685,505.437,0,0,0,7743.83,1622-1601,1601,5,May
115,0,46.513,0,0,0,8535.63,1622-1601,1601,6,May
116,56.092,202.063,0,0,0,8762.85,1622-1601,1601,7,May
117,39.771,86.995,0,0,0,9136.71,1622-1601,1601,8,May
118,0,39.37,0,0,0,8650.23,1622-1601,1601,9,May
119,6.205,467.473,0,0,0,7766.42,1802-1853,1853,1,May
120,29.982,291.298,0,0,0,8345.92,1802-1853,1853,10,May
121,0,603.183,0,0,0,6940.15,1802-1853,1853,2,May
122,8.262,960.703,0,0,0,7916.02,1802-1853,1853,3,May
123,0,462.681,0,0,0,6992.15,1802-1853,1853,4,May
124,4.339,207.896,0,0,0,8919.5,1802-1853,1853,5,May
125,79.072,358.667,0,0,0,8286.03,1802-1853,1853,6,May
126,0,265.464,0,0,0,8090.71,1802-1853,1853,7,May
127,0,176.068,0,0,0,7109.34,1802-1853,1853,8,May
128,21.717,97.707,0,0,0,7192.32,1802-1853,1853,9,May
129,0,0,0,0,0,8259.33,1820-1841,1841,1,May
130,0,0,0,0,0,6866.37,1820-1841,1841,10,May
131,0,5.192,0,0,0,7623.2,1820-1841,1841,2,May
132,0,2.5,0,0,0,7004.51,1820-1841,1841,3,May
133,0,0,0,0,0,7238.83,1820-1841,1841,4,May
134,0,0,0,0,0,6604.61,1820-1841,1841,5,May
135,0,0,0,0,0,8368.98,1820-1841,1841,6,May
136,0,0,0,0,0,8222.29,1820-1841,1841,7,May
137,0,2,0,0,0,8543.13,1820-1841,1841,8,May
138,0,0,0,0,0,8390.98,1820-1841,1841,9,May
139,97.101,526.563,0,0,0,7874.05,1842-1851,1851,1,May
140,9.593,87.467,0,0,0,8192.31,1842-1851,1851,10,May
141,4.712,197.902,0,0,0,7975.18,1842-1851,1851,2,May
142,36.965,325.98,28.256,0,0,8068.17,1842-1851,1851,3,May
143,17.408,202.992,0,0,0,7400.54,1842-1851,1851,4,May
144,47.935,377.296,0,0,0,8165.26,1842-1851,1851,5,May
145,4.403,182.173,0,0,0,7849.53,1842-1851,1851,6,May
146,36.306,173.158,0,0,0,8383.44,1842-1851,1851,7,May
147,8.372,127.958,0,0,0,8258.86,1842-1851,1851,8,May
148,6.117,140.451,0,0,0,7458.63,1842-1851,1851,9,May
149,0,0,0,0,0,2326.32,1850-1803,1803,1,May
150,0,0,0,0,0,2326.32,1850-1803,1803,10,May
151,0,9.801,0,0,0,7111.1,1850-1803,1803,2,May
152,0,1.067,0,0,0,7738.81,1850-1803,1803,3,May
153,0,70.763,0,0,0,8737.83,1850-1803,1803,4,May
154,0,59.819,0,0,0,8768.36,1850-1803,1803,5,May
155,0,0,0,0,0,2326.32,1850-1803,1803,6,May
156,0,0,0,0,0,2326.32,1850-1803,1803,7,May
